Milestone_ID,Project_ID,Milestone_Name,Planned_Date,Actual_Date,Status
M5001,P1001,Final Handover,2026-02-02,2026-04-03,Completed
M5002,P1001,Foundation,2026-03-26,2026-04-30,Completed
M5003,P1001,Structural Work,2026-05-17,2026-07-16,Completed
M5004,P1001,Safety Inspection,2026-07-08,2026-08-12,Completed
M5005,P1001,Land Acquisition,2026-08-29,2026-09-08,Completed
M5006,P1002,Major Construction,2023-02-26,,Not Started
M5007,P1002,Safety Inspection,2023-05-25,2023-06-04,Completed
M5008,P1002,Design Approval,2023-08-22,,Pending
M5009,P1002,Land Acquisition,2023-11-18,2023-11-18,Completed
M5010,P1002,Structural Work,2024-02-15,2024-04-15,Delayed
M5011,P1002,Testing,2024-05-13,2024-06-17,Completed
M5012,P1003,Design Approval,2023-11-11,2024-01-10,Completed
M5013,P1003,Land Acquisition,2024-03-18,,Completed
M5014,P1003,Safety Inspection,2024-07-24,2024-08-13,Delayed
M5015,P1003,Final Handover,2024-11-29,,In Progress
M5016,P1003,Structural Work,2025-04-06,2025-04-16,Delayed
M5017,P1003,Testing,2025-08-12,2025-08-14,Completed
M5018,P1004,Major Construction,2025-05-26,2025-06-05,Delayed
M5019,P1004,Structural Work,2025-08-14,2025-08-19,Delayed
M5020,P1004,Design Approval,2025-11-02,2025-11-04,Completed
M5021,P1004,Land Acquisition,2026-01-22,2026-03-23,Completed
M5022,P1004,Testing,2026-04-12,2026-06-11,Completed
M5023,P1004,Foundation,2026-07-01,2026-08-30,Delayed
M5024,P1005,Testing,2024-09-23,,Pending
M5025,P1005,,2025-01-21,,In Progress
M5026,P1005,Foundation,2025-05-20,2025-05-30,Completed
M5027,P1005,Design Approval,2025-09-17,,Pending
M5028,P1005,Land Acquisition,2026-01-14,,Pending
M5029,P1005,Major Construction,2026-05-14,2026-05-16,Completed
M5030,P1006,Structural Work,2025-07-06,,Pending
M5031,P1006,Major Construction,2025-09-05,2025-09-25,Completed
M5032,P1006,Final Handover,2025-11-05,,Not Started
M5033,P1006,Foundation,2026-01-05,2026-01-25,Completed
M5034,P1007,Foundation,2022-11-02,2022-11-02,Completed
M5035,P1007,Major Construction,2023-01-18,2023-01-20,Completed
M5036,P1007,Design Approval,2023-04-05,2023-04-05,Completed
M5037,P1007,Structural Work,2023-06-21,,Pending
M5038,P1007,Final Handover,2023-09-06,,In Progress
M5039,P1007,Land Acquisition,2023-11-22,,In Progress
M5040,P1008,Land Acquisition,,,Not Started
M5041,P1008,Design Approval,2026-05-31,,Pending
M5042,P1008,Major Construction,2026-10-30,2026-12-04,Delayed
M5043,P1008,Safety Inspection,2027-03-31,,In Progress
M5044,P1009,Testing,2022-11-13,2022-12-18,Completed
M5045,P1009,Design Approval,2023-02-08,2023-02-28,Completed
M5046,P1009,Safety Inspection,2023-05-06,,
M5047,P1009,Structural Work,2023-08-02,2023-09-06,Completed
M5048,P1009,Major Construction,2023-10-28,,Not Started
M5049,P1009,Foundation,2024-01-23,2024-03-23,Completed
M5050,P1010,Testing,2022-11-15,,Pending
M5051,P1010,Safety Inspection,2023-01-16,2023-01-16,Completed
M5052,P1010,Major Construction,2023-03-19,2023-03-24,Completed
M5053,P1010,Design Approval,2023-05-20,2023-06-15,Delayed
M5054,P1010,Land Acquisition,2023-07-21,,Not Started
M5055,P1011,Final Handover,2024-08-07,2024-08-12,Completed
M5056,P1011,Land Acquisition,2024-12-17,,Pending
M5057,P1011,Foundation,2025-04-29,2025-06-03,Delayed
M5058,P1011,Design Approval,2025-09-08,,In Progress
M5059,P1011,Major Construction,2026-01-19,2026-01-29,Completed
M5060,P1011,Testing,2026-05-31,2026-05-31,Delayed
M5061,P1012,Foundation,2022-03-08,2022-03-13,Completed
M5062,P1012,Structural Work,2022-04-29,2022-05-01,Delayed
M5063,P1012,Land Acquisition,2022-06-20,2022-06-20,Completed
M5064,P1012,Testing,2022-08-11,2022-08-31,Delayed
M5065,P1012,Final Handover,2022-10-02,2022-12-11,Delayed
M5066,P1013,Safety Inspection,2023-02-12,2023-02-14,Delayed
M5067,P1013,Design Approval,2023-06-29,,Not Started
M5068,P1013,Land Acquisition,2023-11-14,,Not Started
M5069,P1013,Testing,2024-03-30,2024-04-04,Completed
M5070,P1013,Foundation,2024-08-14,2024-08-14,Delayed
M5071,P1014,Foundation,2022-08-15,,Not Started
M5072,P1014,Land Acquisition,2022-12-09,2023-01-18,Delayed
M5073,P1014,Final Handover,2023-04-04,2023-04-06,Completed
M5074,P1014,Safety Inspection,2023-07-29,2023-08-23,Delayed
M5075,P1014,Structural Work,2023-11-22,2023-11-22,Completed
M5076,P1014,Major Construction,2024-03-17,2024-05-31,Delayed
M5077,P1014,Design Approval,2024-07-11,2024-08-15,Completed
M5078,P1015,Safety Inspection,2023-04-26,2023-05-06,Completed
M5079,P1015,Design Approval,2023-08-09,2023-08-19,Completed
M5080,P1015,Foundation,2023-11-22,2023-11-27,Completed
M5081,P1015,Structural Work,2024-03-06,,Completed
M5082,P1016,Testing,2023-04-17,,Not Started
M5083,P1016,Safety Inspection,2023-08-26,2023-08-26,Delayed
M5084,P1016,Major Construction,2024-01-04,,In Progress
M5085,P1016,Structural Work,2024-05-14,,Not Started
M5086,P1017,Structural Work,2026-03-08,2026-03-28,Completed
M5087,P1017,Final Handover,2026-06-17,2026-08-16,Delayed
M5088,P1017,Foundation,2026-09-26,2026-09-28,Completed
M5089,P1017,Land Acquisition,2027-01-05,,Pending
M5090,P1017,Safety Inspection,2027-04-16,2027-04-16,
M5091,P1017,Testing,2027-07-26,2027-09-24,Completed
M5092,P1017,Major Construction,2027-11-04,,In Progress
M5093,P1018,Design Approval,2025-07-24,2025-07-29,Delayed
M5094,P1018,Land Acquisition,2025-11-05,,Pending
M5095,P1018,Structural Work,2026-02-17,,Not Started
M5096,P1018,Major Construction,2026-06-01,,In Progress
M5097,P1018,Testing,2026-09-13,2026-09-15,Completed
M5098,P1018,Foundation,2026-12-26,,Not Started
M5099,P1019,Design Approval,2025-06-18,,In Progress
M5100,P1019,Major Construction,2025-09-24,,In Progress
M5101,P1019,Land Acquisition,2026-01-01,2026-01-11,Delayed
M5102,P1019,Foundation,2026-04-09,2026-04-14,Delayed
M5103,P1020,,2024-05-22,2024-06-01,Completed
M5104,P1020,Land Acquisition,2024-07-23,,Pending
M5105,P1020,Structural Work,2024-09-24,2024-11-23,Completed
M5106,P1020,Foundation,2024-11-25,2025-01-24,
M5107,P1020,Design Approval,2025-01-26,,Not Started
M5108,P1021,Structural Work,2023-08-11,2023-08-16,Completed
