Payment_ID,Project_ID,Payment_Date,Amount_Cr,Payment_Status,Payment_Year,Payment_Month
PAY20001,P1001,2026-06-11,13.69,Approved,2026.0,6.0
PAY20002,P1001,2026-05-16,12.04,Approved,2026.0,5.0
PAY20003,P1001,,6.97,Paid,,
PAY20004,P1001,2026-05-15,6.81,Partially Paid,2026.0,5.0
PAY20005,P1001,2026-07-16,1.43,On Hold,2026.0,7.0
PAY20006,P1001,2026-09-27,1.38,Approved,2026.0,9.0
PAY20007,P1002,2023-08-22,6.87,Partially Paid,2023.0,8.0
PAY20008,P1002,2023-08-22,8.65,Pending,2023.0,8.0
PAY20009,P1002,2024-07-02,3.86,Partially Paid,2024.0,7.0
PAY20010,P1002,2023-05-20,9.18,Approved,2023.0,5.0
PAY20011,P1002,2023-12-14,7.501971830985916,Paid,2023.0,12.0
PAY20012,P1002,2024-02-21,6.46,Pending,2024.0,2.0
PAY20013,P1002,2024-08-10,7.54,Pending,2024.0,8.0
PAY20014,P1002,2023-07-02,13.18,Paid,2023.0,7.0
PAY20015,P1002,2023-06-18,2.03,Approved,2023.0,6.0
PAY20016,P1002,2024-07-19,10.74,Partially Paid,2024.0,7.0
PAY20017,P1003,2023-12-13,13.07,Partially Paid,2023.0,12.0
PAY20018,P1003,2023-08-30,10.43,Paid,2023.0,8.0
PAY20019,,2023-12-19,7.84,On Hold,2023.0,12.0
PAY20020,P1003,2024-09-06,13.59,Approved,2024.0,9.0
PAY20021,P1004,2026-05-22,10.53,Pending,2026.0,5.0
PAY20022,P1004,2026-01-31,2.01,Approved,2026.0,1.0
PAY20023,P1004,2025-07-25,14.91,Paid,2025.0,7.0
PAY20024,P1004,2025-06-20,11.15,Approved,2025.0,6.0
PAY20025,P1004,2026-07-09,13.68,Partially Paid,2026.0,7.0
PAY20026,P1005,2025-04-18,11.43,Pending,2025.0,4.0
PAY20027,P1005,2026-07-17,2.96,On Hold,2026.0,7.0
PAY20028,P1005,2025-11-29,1.49,Paid,2025.0,11.0
PAY20029,P1005,2026-02-23,9.0,Partially Paid,2026.0,2.0
PAY20030,P1005,2025-07-19,4.98,Pending,2025.0,7.0
PAY20031,P1005,2025-11-28,10.91,Approved,2025.0,11.0
PAY20032,P1005,2026-08-26,1.68,Approved,2026.0,8.0
PAY20033,P1005,2025-11-13,5.28,On Hold,2025.0,11.0
PAY20034,P1005,2025-12-08,13.49,On Hold,2025.0,12.0
PAY20035,P1006,2025-10-29,5.01,Approved,2025.0,10.0
PAY20036,P1006,,14.31,Paid,,
PAY20037,P1006,2025-09-20,6.6,Approved,2025.0,9.0
PAY20038,P1006,2025-11-12,1.72,Approved,2025.0,11.0
PAY20039,P1006,2025-08-28,2.0,Approved,2025.0,8.0
PAY20040,P1006,2026-02-09,6.72,Pending,2026.0,2.0
PAY20041,P1006,2025-10-30,14.1,Approved,2025.0,10.0
PAY20042,P1006,2025-07-29,13.89,Approved,2025.0,7.0
PAY20043,P1006,2025-08-16,1.67,On Hold,2025.0,8.0
PAY20044,P1007,2022-09-30,9.08,Paid,2022.0,9.0
PAY20045,P1007,2024-01-20,13.39,On Hold,2024.0,1.0
PAY20046,P1007,2023-10-30,3.13,Partially Paid,2023.0,10.0
PAY20047,P1007,2023-11-16,12.38,Approved,2023.0,11.0
PAY20048,P1007,2022-12-29,4.41,On Hold,2022.0,12.0
PAY20049,P1008,2026-11-29,7.93,Partially Paid,2026.0,11.0
PAY20050,P1008,2026-06-29,13.79,Paid,2026.0,6.0
PAY20051,P1008,2026-11-29,13.36,Partially Paid,2026.0,11.0
PAY20052,P1008,2026-05-27,1.53,Pending,2026.0,5.0
PAY20053,P1008,2026-06-12,11.04,Paid,2026.0,6.0
PAY20054,P1008,2026-08-28,12.1,Pending,2026.0,8.0
PAY20055,P1008,2025-11-15,5.07,On Hold,2025.0,11.0
PAY20056,P1008,2026-08-09,4.32,On Hold,2026.0,8.0
PAY20057,P1008,2027-07-20,11.71,Approved,2027.0,7.0
PAY20058,P1009,2023-12-04,1.73,On Hold,2023.0,12.0
PAY20059,P1009,2023-08-08,3.06,On Hold,2023.0,8.0
PAY20060,P1009,2022-10-23,14.25,Paid,2022.0,10.0
PAY20061,P1010,2022-12-24,8.9,Pending,2022.0,12.0
PAY20062,P1010,2023-01-23,4.16,Pending,2023.0,1.0
PAY20063,P1010,2023-06-20,12.25,Partially Paid,2023.0,6.0
PAY20064,P1010,2023-03-08,2.19,Paid,2023.0,3.0
PAY20065,P1010,2023-07-06,12.89,Pending,2023.0,7.0
PAY20066,P1010,2022-10-16,6.66,Partially Paid,2022.0,10.0
PAY20067,P1011,2026-04-24,2.88,Partially Paid,2026.0,4.0
PAY20068,P1011,,4.13,Partially Paid,,
PAY20069,P1011,2026-02-02,8.86,Approved,2026.0,2.0
PAY20070,P1011,2025-09-04,8.07,Pending,2025.0,9.0
PAY20071,P1011,2025-02-28,12.65,Approved,2025.0,2.0
PAY20072,P1011,2026-03-12,7.4,Partially Paid,2026.0,3.0
PAY20073,P1012,2022-11-19,7.34,Paid,2022.0,11.0
PAY20074,P1012,2022-06-06,1.91,Approved,2022.0,6.0
PAY20075,P1012,2022-09-16,14.55,Approved,2022.0,9.0
PAY20076,P1012,2022-06-20,10.02,Paid,2022.0,6.0
PAY20077,P1012,2022-05-15,7.1,Approved,2022.0,5.0
PAY20078,P1012,2022-04-13,5.38,Partially Paid,2022.0,4.0
PAY20079,P1012,2022-04-20,11.66,Partially Paid,2022.0,4.0
PAY20080,,2022-10-22,9.12,Pending,2022.0,10.0
PAY20081,P1013,2023-08-21,4.2,Pending,2023.0,8.0
PAY20082,P1013,2023-12-20,1.15,Approved,2023.0,12.0
PAY20083,P1013,2023-07-22,10.21,Partially Paid,2023.0,7.0
PAY20084,P1014,2024-08-26,6.77,Partially Paid,2024.0,8.0
PAY20085,P1014,2023-02-11,13.71,Approved,2023.0,2.0
PAY20086,P1014,2023-09-30,10.99,Approved,2023.0,9.0
PAY20087,P1014,2024-03-02,12.32,Approved,2024.0,3.0
PAY20088,P1014,2023-08-22,6.29,On Hold,2023.0,8.0
PAY20089,,2024-11-02,2.71,Pending,2024.0,11.0
PAY20090,P1014,2024-07-27,9.47,On Hold,2024.0,7.0
