Milestone_ID,Project_ID,Milestone_Name,Planned_Date,Actual_Date,Status,Milestone_Delay_Days,Delay_Category
M5001,P1001,Final Handover,2026-02-02,2026-04-03,Completed,60.0,Extreme Delay
M5002,P1001,Foundation,2026-03-26,2026-04-30,Completed,35.0,Major Delay
M5003,P1001,Structural Work,2026-05-17,2026-07-16,Completed,60.0,Extreme Delay
M5004,P1001,Safety Inspection,2026-07-08,2026-08-12,Completed,35.0,Major Delay
M5005,P1001,Land Acquisition,2026-08-29,2026-09-08,Completed,10.0,Minor Delay
M5006,P1002,Major Construction,2023-02-26,,Not Started,,On Time
M5007,P1002,Safety Inspection,2023-05-25,2023-06-04,Completed,10.0,Minor Delay
M5008,P1002,Design Approval,2023-08-22,,Pending,,On Time
M5009,P1002,Land Acquisition,2023-11-18,2023-11-18,Completed,0.0,On Time
M5010,P1002,Structural Work,2024-02-15,2024-04-15,Delayed,60.0,Extreme Delay
M5011,P1002,Testing,2024-05-13,2024-06-17,Completed,35.0,Major Delay
M5012,P1003,Design Approval,2023-11-11,2024-01-10,Completed,60.0,Extreme Delay
M5013,P1003,Land Acquisition,2024-03-18,,Completed,,On Time
M5014,P1003,Safety Inspection,2024-07-24,2024-08-13,Delayed,20.0,Minor Delay
M5015,P1003,Final Handover,2024-11-29,,In Progress,,On Time
M5016,P1003,Structural Work,2025-04-06,2025-04-16,Delayed,10.0,Minor Delay
M5017,P1003,Testing,2025-08-12,2025-08-14,Completed,2.0,On Time
M5018,P1004,Major Construction,2025-05-26,2025-06-05,Delayed,10.0,Minor Delay
M5019,P1004,Structural Work,2025-08-14,2025-08-19,Delayed,5.0,On Time
M5020,P1004,Design Approval,2025-11-02,2025-11-04,Completed,2.0,On Time
M5021,P1004,Land Acquisition,2026-01-22,2026-03-23,Completed,60.0,Extreme Delay
M5022,P1004,Testing,2026-04-12,2026-06-11,Completed,60.0,Extreme Delay
M5023,P1004,Foundation,2026-07-01,2026-08-30,Delayed,60.0,Extreme Delay
M5024,P1005,Testing,2024-09-23,,Pending,,On Time
M5025,P1005,,2025-01-21,,In Progress,,On Time
M5026,P1005,Foundation,2025-05-20,2025-05-30,Completed,10.0,Minor Delay
M5027,P1005,Design Approval,2025-09-17,,Pending,,On Time
M5028,P1005,Land Acquisition,2026-01-14,,Pending,,On Time
M5029,P1005,Major Construction,2026-05-14,2026-05-16,Completed,2.0,On Time
M5030,P1006,Structural Work,2025-07-06,,Pending,,On Time
M5031,P1006,Major Construction,2025-09-05,2025-09-25,Completed,20.0,Minor Delay
M5032,P1006,Final Handover,2025-11-05,,Not Started,,On Time
M5033,P1006,Foundation,2026-01-05,2026-01-25,Completed,20.0,Minor Delay
M5034,P1007,Foundation,2022-11-02,2022-11-02,Completed,0.0,On Time
M5035,P1007,Major Construction,2023-01-18,2023-01-20,Completed,2.0,On Time
M5036,P1007,Design Approval,2023-04-05,2023-04-05,Completed,0.0,On Time
M5037,P1007,Structural Work,2023-06-21,,Pending,,On Time
M5038,P1007,Final Handover,2023-09-06,,In Progress,,On Time
M5039,P1007,Land Acquisition,2023-11-22,,In Progress,,On Time
M5040,P1008,Land Acquisition,,,Not Started,,On Time
M5041,P1008,Design Approval,2026-05-31,,Pending,,On Time
M5042,P1008,Major Construction,2026-10-30,2026-12-04,Delayed,35.0,Major Delay
M5043,P1008,Safety Inspection,2027-03-31,,In Progress,,On Time
M5044,P1009,Testing,2022-11-13,2022-12-18,Completed,35.0,Major Delay
M5045,P1009,Design Approval,2023-02-08,2023-02-28,Completed,20.0,Minor Delay
M5046,P1009,Safety Inspection,2023-05-06,,,,On Time
M5047,P1009,Structural Work,2023-08-02,2023-09-06,Completed,35.0,Major Delay
M5048,P1009,Major Construction,2023-10-28,,Not Started,,On Time
M5049,P1009,Foundation,2024-01-23,2024-03-23,Completed,60.0,Extreme Delay
M5050,P1010,Testing,2022-11-15,,Pending,,On Time
