Risk_ID,Project_ID,Risk_Type,Probability,Impact,Risk_Status
R9001,P1001,Regulatory,Low,Low,Open
R9002,P1002,Environmental,Very High,Low,Closed
R9003,P1002,Land Acquisition,Low,Critical,Closed
R9004,P1002,Financial,Very High,Low,Monitoring
R9005,P1002,Schedule,Very High,High,Mitigated
R9006,P1003,Safety,Low,Low,Mitigated
R9007,P1004,Land Acquisition,High,High,Closed
R9008,P1004,Safety,Very High,Medium,Mitigated
R9009,P1004,Regulatory,High,Low,Mitigated
R9010,P1004,Safety,Very High,High,Monitoring
R9011,P1004,Supply Chain,Medium,Critical,Monitoring
R9012,P1004,Financial,High,Low,Mitigated
R9013,P1005,Supply Chain,Medium,Low,Closed
R9014,P1005,Schedule,Medium,Medium,Mitigated
R9015,P1006,,Medium,Critical,Closed
R9016,P1006,Supply Chain,High,High,Closed
R9017,P1006,Financial,Medium,Low,Closed
R9018,P1007,Environmental,Medium,Low,Mitigated
R9019,P1007,Land Acquisition,Very High,Medium,Mitigated
R9020,P1007,Technical,High,Severe,Mitigated
R9021,P1007,Financial,Medium,Low,Monitoring
R9022,P1008,Safety,High,Low,Open
R9023,P1009,Financial,Very High,Medium,Monitoring
R9024,P1009,Regulatory,Low,Medium,Mitigated
R9025,P1009,Safety,,Medium,Monitoring
R9026,P1010,Financial,Medium,Medium,Mitigated
R9027,P1010,Financial,Medium,High,Open
R9028,P1010,Supply Chain,Medium,Critical,Open
R9029,P1011,Supply Chain,High,Critical,Mitigated
R9030,P1011,Schedule,High,Medium,Closed
R9031,P1012,Environmental,Medium,,Mitigated
R9032,P1012,Technical,Very High,High,Open
R9033,P1013,Regulatory,Medium,Low,Mitigated
R9034,P1013,Financial,Medium,High,Mitigated
R9035,P1013,Environmental,High,Medium,Closed
R9036,P1013,Safety,Low,Critical,Open
R9037,P1014,Land Acquisition,Very High,High,Closed
R9038,P1014,Land Acquisition,Medium,High,Monitoring
R9039,P1014,Technical,Very High,Critical,Monitoring
R9040,P1014,Environmental,Low,Medium,Mitigated
R9041,P1014,Environmental,Very High,Medium,Closed
R9042,P1015,Supply Chain,,Critical,Mitigated
R9043,P1015,Schedule,High,Low,Mitigated
R9044,P1015,Environmental,High,Critical,Monitoring
R9045,P1016,Technical,Low,Critical,Monitoring
R9046,P1016,Technical,Very High,Critical,Closed
R9047,P1016,Regulatory,High,Critical,Monitoring
R9048,P1016,Land Acquisition,Very High,Low,Mitigated
R9049,P1016,Supply Chain,Medium,High,Open
R9050,P1017,Environmental,High,Low,Monitoring
R9051,P1018,Financial,Low,Low,Monitoring
R9052,P1019,Supply Chain,Medium,High,Mitigated
R9053,P1019,Environmental,High,High,Monitoring
R9054,P1019,Regulatory,Medium,High,Open
R9055,P1019,Technical,High,High,Closed
R9056,P1019,Technical,Low,Critical,Mitigated
R9057,P1020,Environmental,Medium,Medium,Closed
R9058,P1020,Schedule,Very High,Critical,Monitoring
R9059,P1021,Environmental,Medium,Critical,Closed
R9060,P1021,Supply Chain,Very High,Critical,Open
R9061,P1021,Financial,Medium,Medium,Monitoring
R9062,P1022,Technical,High,High,Mitigated
R9063,P1022,Supply Chain,Very High,Critical,Monitoring
R9064,P1022,Safety,Low,Low,Mitigated
R9065,P1022,Environmental,High,Critical,Closed
R9066,P1023,Land Acquisition,Low,Critical,Mitigated
R9067,P1023,Regulatory,Low,High,Closed
R9068,P1023,Safety,Low,Medium,Open
R9069,P1023,Safety,Low,Critical,Open
R9070,P1024,Environmental,Low,Critical,Monitoring
R9071,P1024,Land Acquisition,Medium,High,Open
R9072,P1025,Supply Chain,High,Low,Mitigated
R9073,P1026,Safety,Very High,Medium,Open
R9074,P1026,Technical,Very High,Critical,Open
R9075,P1026,Regulatory,Medium,Medium,Mitigated
R9076,P1026,Regulatory,Very High,Critical,Mitigated
R9077,P1027,Environmental,Medium,Critical,Monitoring
R9078,P1027,Schedule,Low,Medium,Closed
R9079,P1027,Land Acquisition,Very High,Medium,Monitoring
R9080,P1027,Schedule,Very High,Critical,Open
R9081,P1027,Regulatory,High,Critical,Monitoring
R9082,P1028,Safety,Medium,Critical,Mitigated
R9083,P1028,Safety,Very High,Critical,Closed
R9084,P1028,Environmental,,Critical,Open
R9085,P1028,Schedule,Medium,High,Monitoring
R9086,P1029,Supply Chain,Very High,Critical,Open
R9087,P1029,Technical,Low,Low,Monitoring
R9088,P1030,Financial,Medium,High,Mitigated
R9089,P1030,Land Acquisition,Very High,Low,Open
R9090,P1030,Environmental,Very High,,Closed
R9091,P1030,Regulatory,Very High,Low,Open
R9092,P1031,Land Acquisition,Medium,High,Closed
R9093,P1032,Land Acquisition,Low,Low,Mitigated
R9094,P1032,Safety,Medium,Critical,Monitoring
R9095,P1032,Safety,Medium,Low,Open
R9096,P1032,Safety,High,Low,Closed
R9097,P1033,Land Acquisition,Low,High,Mitigated
R9098,P1034,Environmental,Medium,Medium,Open
R9099,P1034,Technical,Very High,Low,Open
R9100,P1034,Financial,High,Critical,Open
R9101,P1035,Supply Chain,Very High,Medium,Mitigated
R9102,P1036,Technical,Medium,Low,Open
R9103,P1036,Environmental,Low,Low,Monitoring
R9104,P1037,Safety,Medium,Low,Mitigated
