Contractor_ID,Contractor_Name,Experience_Years,Projects_Completed,Average_Delay_Days,Performance_Rating
C101,BuildMax Infra,25,22,5,4.3
C102,RoadWorks India,12,36,8,4.2
C103,Apex Constructions,26,19,18,3.5
C104,null,5,19,8,3
C105,MetroBuild Pvt Ltd,24,11,18,5.8
C106,National InfraWorks,25,61,8,3.5
C107,Prime Engineering,13,8,30,4.4
C108, Vertex Construction,27,62,12,3.1
C109,Horizon Developers,11,51,5,2.6
C110 ,UrbanGrid Infra,-3,53,30,3.3
C111,Suryodaya Projects,13,13,22,3.5
,BlueStone Engineering,8,56,5,3.8
C103,Apex Constructions,26,19,18,3.5
C102,RoadWorks India,12,36,8,4.2
