Payment_ID,Project_ID,Payment_Date,Amount_Cr,Payment_Status
PAY20001,P1001,2026-06-11,13.69,Approved
PAY20002,P1001,2026-05-16,12.04,Approved
PAY20003,P1001,NA,6.97,Paid
PAY20004,P1001,2026-05-15,6.81,Partially Paid
PAY20005,P1001,2026-07-16,1.43,On Hold
PAY20006,P1001,2026-09-27,1.38,Approved
PAY20007,P1002,2023-08-22,6.87,Partially Paid
PAY20008,P1002,2023-08-22,8.65,Pending
PAY20009,P1002,2024-07-02,3.86,Partially Paid
PAY20010,P1002,2023-05-20,9.18,Approved
PAY20011,P1002,2023-12-14,-4.5,Paid
PAY20012,P1002,2024-02-21,6.46,Pending
PAY20013,P1002,2024-08-10,7.54,Pending
PAY20014,P1002,2023-07-02,13.18,Paid
PAY20015,P1002,2023-06-18,2.03,Approved
PAY20016,P1002,2024-07-19,10.74,Partially Paid
PAY20017,P1003,2023-12-13,13.07,Partially Paid
PAY20018,P1003,2023-08-30,10.43,Paid
PAY20019,,2023-12-19,7.84,On Hold
PAY20020,P1003,2024-09-06,13.59,Approved
PAY20021,P1004,2026-05-22,10.53,Pending
PAY20022,P1004,2026-01-31,2.01,Approved
PAY20023,P1004,2025-07-25,14.91,paid 
PAY20024,P1004,2025-06-20,11.15,Approved
pay20025,P1004,2026-07-09,13.68,Partially Paid
PAY20026,P1005,2025-04-18,11.43,Pending
PAY20027,P1005,2026-07-17,2.96,On Hold
PAY20028,P1005,2025-11-29,1.49,Paid
PAY20029,P1005,2026-02-23,9.0,Partially Paid
PAY20030,P1005,2025-07-19,4.98,Pending
PAY20031,P1005,2025-11-28,10.91,Approved
PAY20032,P1005,2026-08-26,1.68,Approved
PAY20033,P1005,2025-11-13,5.28,On Hold
PAY20034,P1005,2025-12-08,13.49, On Hold
PAY20035,P1006,2025-10-29,5.01,Approved
PAY20036,P1006,2024-15-50,14.31,Paid
PAY20037,P1006,2025-09-20,6.6,Approved
PAY20038,P1006,2025-11-12,1.72,Approved
PAY20039,P1006,2025-08-28,2.0,Approved
PAY20040,P1006,2026-02-09,6.72,Pending
PAY20041,P1006,2025-10-30,14.1,Approved
PAY20042,P1006,2025-07-29,13.89,Approved
PAY20043,P1006,2025-08-16,1.67,On Hold
PAY20044,P1007,2022-09-30,9.08,Paid
PAY20045,P1007,2024-01-20,13.39,On Hold
PAY20046,P1007,2023-10-30,3.13,Partially Paid
PAY20047,P1007,2023-11-16,12.38,Approved
PAY20048,P1007,2022-12-29,4.41,On Hold
PAY20049,P1008,2026-11-29,7.93,Partially Paid
PAY20050,P1008,2026-06-29,13.79,Paid
PAY20051,P1008,2026-11-29,13.36,Partially Paid
PAY20052,P1008,2026-05-27,1.53,Pending
PAY20053,P1008,2026-06-12,11.04,Paid
PAY20054,P1008,2026-08-28,12.1,Pending
PAY20055,P1008,2025-11-15,5.07,On Hold
PAY20056,P1008,2026-08-09,4.32,On Hold
PAY20057,P1008,2027-07-20,11.71,Approved
PAY20058,P1009,2023-12-04,1.73,On Hold
PAY20059,P1009,2023-08-08,3.06,On Hold
PAY20060,P1009,2022-10-23,14.25,Paid
PAY20061,P1010,2022-12-24,8.9,Pending
PAY20062,P1010,2023-01-23,4.16,Pending
PAY20063,P1010,2023-06-20,12.25,Partially Paid
PAY20064,P1010,2023-03-08,2.19,Paid
PAY20065,P1010,2023-07-06,12.89,Pending
PAY20066,P1010,2022-10-16,6.66,Partially Paid
PAY20067,P1011,2026-04-24,2.88,Partially Paid
PAY20068,P1011,N/A,4.13,Partially Paid
PAY20069,P1011,2026-02-02,8.86,Approved
PAY20070,P1011,2025-09-04,8.07,Pending
PAY20071,P1011,2025-02-28,12.65,Approved
PAY20072,P1011,2026-03-12,7.4,Partially Paid
PAY20073,P1012,2022-11-19,7.34, Paid
PAY20074,P1012,2022-06-06,1.91,Approved
PAY20075,P1012,2022-09-16,14.55,Approved
PAY20076,P1012,2022-06-20,10.02,Paid
PAY20077,P1012,2022-05-15,7.1,Approved
PAY20078,P1012,2022-04-13,5.38,Partially Paid
PAY20079,P1012,2022-04-20,11.66,Partially Paid
PAY20080,null,2022-10-22,9.12,Pending
PAY20081,P1013,2023-08-21,4.2,Pending
PAY20082,P1013,2023-12-20,1.15,Approved
PAY20083,P1013,2023-07-22,10.21,Partially Paid
PAY20084,P1014,2024-08-26,6.77,PARTIALLY PAID
PAY20085,P1014,2023-02-11,13.71,Approved
PAY20086,P1014,2023-09-30,10.99,Approved
PAY20087,P1014,2024-03-02,12.32,Approved
PAY20088,P1014,2023-08-22,6.29,On Hold
PAY20089,,2024-11-02,2.71,Pending
PAY20090,P1014,2024-07-27,9.47,On Hold
PAY20091,P1014,2024-02-05,5.11,On Hold
PAY20092,P1014,2023-11-24,0.54,Paid
PAY20093,P1015,2023-03-28,11.76,Approved
PAY20094,P1015,2024-05-22,5.45,On Hold
PAY20095,P1015,2023-03-14,9.91,On Hold
PAY20096,P1015,2023-05-28,5.59,Pending
PAY20097,P1015,2023-05-01,12.61,Partially Paid
PAY20098,P1015,2024-04-25,10.84,Approved
PAY20099,P1015,2024-03-26,2.63,approved
PAY20100,P1015,2023-07-29,6.35,On Hold
PAY20101,P1015,2024-02-20,3.92,Paid
PAY20102,P1016,2023-01-26,11.39,On Hold
PAY20103,P1016,2023-04-20,7.65,Partially Paid
