Project_ID,Project_Name,Project_Type,Region,Start_Date,Planned_End_Date,Actual_End_Date,Planned_Budget_Cr,Actual_Cost_Cr,Planned_Progress_Pct,Actual_Progress_Pct,Contractor_ID,Status
P1001,Water Supply Project 1,Water Supply,Central,2025-12-13,2026-10-20,2026-10-30,140.97,146.36,100,100,C104,Completed
P1002,Tunnel Project 2,Tunnel,Northeast,2022-11-30,2024-08-10,,128.71,128.97,55,59,C106,Ongoing
P1003,Metro Project 3,Metro,West,2023-07-07,2025-12-18,2026-02-27,152.97,154.98,100,75,C107,Delayed
P1004,Airport Project 4,Airport,North,2025-03-07,2026-09-20,2026-12-19,76.05,78.31,100,100,C104,Completed
P1005,Airport Project 5,Airport,Northeast,2024-05-27,2026-09-11,,179.54,197.38,49,53,C110,Ongoing
P1006,Metro Project 6,Metro,Northeast,2025-05-06,2026-03-07,,99.01,112.48,83,84,C107,Ongoing
P1007,Airport Project 7,Airport,Northeast,2022-08-17,2024-02-08,,8.56,9.6,72,83,C106,Ongoing
P1008,Bridge Project 8,Bridge,Northeast,2025-08-01,2027-08-30,,72.31,N/A,78,44,C105,Ongoing
P1009,Water Supply Project 9,Water Supply,West,2022-08-18,2024-04-20,,146.77,139.25,86,68,C101,On Hold
P1010,Tunnel Project 10,Tunnel,,2022-09-15,2023-09-21,2024-02-23,53.59,54.91,100,65,C109,Delayed
P1011,Railway Project 11,Railway,Northeast,2024-03-28,2026-10-11,,162.73,158.53,75,81,C105,Ongoing
P1012,Railway Project 12,Railway,Central,2022-01-15,2022-11-23,2022-12-23,19.59,18.1,100,69,C104,Delayed
P1013,Tunnel Project 13,Tunnel,South,2022-09-28,2024-12-30,,142.95,145.37,67,56,C109,Ongoing
P1014,Power Project 14,Power,West,2022-04-21,2024-11-05,2025-05-04 ,18.43,18.57,100,61,C112,Delayed
P1015,Tunnel Project 15,Tunnel,South,2023-01-11,2024-06-19,,84.22,98.5,93,34,C107,Ongoing
P1016,Highway Project 16,Highway,North,2022-12-07,2024-09-23,,-25.0,161.15,90,52,C104,Ongoing 
P1017,Tunnel Project 17,Tunnel,East,2025-11-27,2028-02-14,2028-07-02,40.66,38.47,100,64,C107,Delayed
P1018,Water Supply Project 18,Water Supply,North,2025-04-11,2027-04-09,,17.78,17.44,95,45,C101,Ongoing
P1019,Railway Project 19,Railway,West,2025-03-12,2026-07-17,,114.53,144.23,53,30,C102,Ongoing
P1020,Water Supply Project 20,Water Supply,South,2024-03-21,2025-03-30,2025-06-29,62.38,77.79,100,84,C105,Delayed
P1021,Bridge Project 21,Bridge,North,2023-03-13,2025-04-09,2025-05-14,159.51,173.38,100,100,C109,Completed
P1022,Airport Project 22,Airport,Central,2024-12-19,2025-08-24,2026-01-27,168.26,191.45,100,125,c111,Delayed
P1023,Metro Project 23,Metro,East,2025-05-23,2026-08-21,2026-10-27,154.7,151.71,100,95,C105,Delayed
P1024,Power Project 24,Power,East,2022-01-08,2023-08-12,2024-02-06,35.79,34.82,100,71,C101,Delayed
P1025,Metro Project 25,Metro,Central,2024-01-27,2026-05-12,,29.92,34.11,62,80,C101,Ongoing
P1026,Railway Project 26,Railway,Northeast,2025-09-27,2026-09-07,,175.5,177.24,91,77,C104,Ongoing
P1027,Metro Project 27,Metro,N/A,2023-01-03,2024-08-05,2024-12-03,53.89,57.17,100,70,C101,Delayed
P1028,Railway Project 28,Railway,South,2023-12-18,2025-06-22,2025-09-03,12.07,15.98,100,69,C108,Delayed
P1029,Airport Project 29,Airport,East,2024-11-09,2026-08-20,2027-01-19,169.55,202.43,100,76,C111,Delayed
P1030,Airport Project 30,Airport,North,2025-05-06,2027-03-21,2027-04-25,83.06,86.23,100,100,C102,Completed
P1031,Highway Project 31,Highway,Northeast,2022-01-04,2024-02-15,,70.65,65.59,-5,45,C107,At Risk
p1032,Bridge Project 32,Bridge,Northeast,2024-11-04,2026-05-14,2026-08-20,127.92,126.2,100,80,C105,Delayed
 P1033,Metro Project 33,Metro,Central,2023-09-09,2025-06-25,,60.27,56.97,68,25,C110,Ongoing
P1034,Tunnel Project 34,Tunnel,Northeast,2024-11-12,2026-11-06,2027-05-28,121.32,115.75,100,65,C104,Delayed
P1035,Railway Project 35,Railway,Northeast,2023-04-06,2024-06-22,2024-06-22,50.11,48.96,100,100,C105,completed
P1036,Railway Project 36,Railway,Northeast,2024-02-26,2026-03-13,,120.84,111.25,67,43,C112,Ongoing
P1037,Railway Project 37 ,Railway,South, 2024-11-26,2026-11-11,2026-11-21,165.8,154.95,100,100,C112,Completed
P1038,Water Supply Project 38,Water Supply,West,2024-10-30,2026-09-06,2027-02-08,162.32,163.82,100,83,C110,Delayed
P1039,Airport Project 39,Airport,Central,2025-07-07,2026-11-03,2026-11-03,130.73,123.95,100,100,C108,Completed
P1040,Metro Project 40,Metro,South,2025-11-22,2026-12-23,2027-01-23,78.11,76.95,100,81,C107,Delayed
P1041,Highway Project 41,Highway,Central,2024-09-03,2025-05-07,,137.6,157.6,74,58,C107,
P1042,Railway Project 42,Railway,West,,2025-05-29,,65.81,65.91,48,74,NA,Ongoing
P1043,Highway Project 43,Highway,north ,2025-03-01,2027-09-05,2027-11-04,31.34,30.57,100,100,c110,Completed
P1044,Water Supply Project 44,Water Supply,East,2023-07-24,2025-05-25,2025-05-25,88.89,89.77,100,100,C107,Completed
P1045,Bridge Project 45,Bridge,Northeast,2022-03-05,2023-07-11,N/A,114.87,135.75,100,100,C101,Completed
P1046,Tunnel Project 46,Tunnel,Northeast,2024-01-26,2025-03-12,,141.78,180.05,76,39,C105,Ongoing
P1047,Power Project 47,Power,West,2023-02-11,2023-12-25,,25.53,25.85,76,56,C112,Ongoing
P1048,Highway Project 48,Highway,East,2024-05-27,2026-11-30,,119.38,110.01,63,89,C109,Ongoing
P1049,Tunnel Project 49,Tunnel,Northeast,2024-06-10,2025-08-04,2026-02-01,113.94,128.46,100,72,C103,Delayed
P1050,Airport Project 50,Airport,East,2022-06-27,2023-12-04,,137.08,135.49,60,30,C104,On Hold
P1051,Metro Project 51,Metro,West,2023-12-28,2025-05-15,2025-06-04,103.6,101.73,100,100,C104,Completed
P1052,Railway Project 52,Railway,Northeast,2025-08-15,2027-08-27,,24.01,26.87,70,27,C108,Ongoing
P1053,Water Supply Project 53,Water Supply,West,2025-02-01,2026-09-02,,54.6,51.88,74,83,C112,Ongoing
P1054,Metro Project 54,Metro,South,2024-09-18,2026-02-23,2026-09-20,110.65,114.82,100,88,C104,Delayed
P1055,Airport Project 55,Airport,North,2024-12-29,2026-01-02,2026-01-02,103.18,103.56,100,100,C112,Completed
P1056,Highway Project 56,Highway,Central,2024-08-19,2026-08-19,,174.07,165.42,71,48,C105,Ongoing
P1057,Bridge Project 57,Bridge,Central,2025-11-06,2026-08-27,2026-09-16,22.65,25.05,100,100,C111,Completed
P1058,Railway Project 58,Railway,Central,2024-07-11,2026-06-04,2026-08-03,60.53,78.73,100,100,C107,Completed
P1059,Railway Project 59,Railway, Northeast,2023-06-26,2025-12-28,2026-01-07,37.9,39.81,100,100,C104,delay
P1060,Airport Project 60,Airport,North, 2023-08-14,2025-01-24,2025-06-04,126.23,142.49,100,59,C104,Delayed
P1061,,Railway,West,2025-01-20,2026-05-05,,150.18,160.18,76,59,C102,Ongoing
P1062,Airport Project 62,Airport,West,2024-08-17,2027-03-20,2027-05-19,170.14,166.75,100,100,C102,Completed
P1063,Power Project 63,Power,Northeast,2025-05-21,2026-09-29,2026-10-09,173.45,232.54,100,100,C106,Completed
P1064,Airport Project 64,Airport,Central,2022-12-25,2024-12-15,,165.56,155.92,45,81,C101,Ongoing
P1065,Tunnel Project 65,Tunnel,East,2023-11-14,2025-06-04,2025-07-30,78.8,87.96,100,76,C107,Delayed
P1066,Highway Project 66,Highway,West,2023-10-07,2025-02-16,2025-04-17,156.76,159.74,100,100,C102,Completed
P1067,Highway Project 67,Highway,South,2024-01-11,2026-06-06,2026-11-28,138.72,131.01,100,83,C109,Delayed
P1068,Tunnel Project 68,Tunnel,North,2025-07-14,2027-11-24,2028-06-07,61.45,67.03,100,65,C101,Delayed
P1069,Bridge Project 69,Bridge,West,2025-08-19,2026-09-20,,95.53,91.02,75,62,C102,Ongoing
P1070,Metro Project 70,Metro,West,2025-05-12,2027-06-11,2027-07-30,55.51,56.33,100,59,C104,Delayed
P1071,Highway Project 71,Highway,East,2023-09-04,2025-12-23,,156.82,172.26,64,87,C112,Ongoing
P1072,Tunnel Project 72,Tunnel,East,2025-11-29,2027-03-28,,155.23,194.02,64,54,C104,Ongoing
P1073,Power Project 73,Power,Northeast,2022-11-08,2024-11-24,,94.39,93.52,73,36,C111,At Risk
P1074,Tunnel Project 74,Tunnel,North,2022-10-23,2024-08-12,,20.87,21.16,45,24,C112,On Hold
P1075,Water Supply Project 75,Water Supply,Northeast,2024-02-18 ,2025-09-04,,158.05,202.29,54,87,C109,Ongoing
P1076,Bridge Project 76,Bridge,West,null,2026-06-28,,163.39,151.22,49,63,C102,Ongoing
P1077,Railway Project 77,Railway,Central,2025-03-05,2027-09-29,2027-11-26,21.58,26.02,100,66,C107,Delayed
P1078,Metro Project 78,Highway ,South,2025-07-30,2026-12-12,,162.61,158.68,62,26,C108,Ongoing
P1079,,Airport,Northeast,2025-11-14,2027-03-25,,42.27,46.43,76,63,C107,Ongoing
P1080,Airport Project 80,Airport,Northeast,2022-02-14,2024-08-16,,105.34,118.45,71,26,C105,Ongoing
P1081,Airport Project 81,Airport,South,2023-12-23,2025-03-31,,124.58,139.02,80,57,C110,Ongoing
